model_id,drift_confidence,warning_confidence,lambda_option,ma_window,min_gap_samples,n_records,two_side_option,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_590,0.0005,0.05,0.05,10,5000,458,0.5,180554.47598253275,5.681222707423581,21.847161572052403,0.138972435454773,0.09279898858450346,0.1969534510850865,0.1345988808240858,0.12100755403799328,0.2597177713829396,0.06396823038314492,0.12212599016564757,5.076125874125868,6.148552447552438,1.6496866136004606,-5.117233609021589,-7.011250035342707,-8.423500505031337,1.6331877729257642,20.213973799126638,4.048034934497816,1.0910247452692878
model_591,0.0005,0.05,0.05,50,500,458,0.5,180554.47598253275,5.681222707423581,53.11790393013101,0.12466649205077977,0.09734407296789492,0.23213093435236012,0.18704470710055493,0.27709232322319916,0.43204863678149064,0.05380318620555291,0.09802986762438455,3.785410958904104,5.391028767123281,3.5965274899545685,-6.423981697945656,-11.14256260564177,-7.536306964621617,2.7641921397379914,48.99126637554585,2.9170305676855897,2.3213537117903935
model_592,0.0005,0.05,0.05,50,1000,458,0.5,180554.47598253275,5.681222707423581,41.07860262008734,0.13594691025174827,0.10263047763903198,0.24455190580228373,0.1895278322057993,0.2378109371719698,0.4209656153561882,0.057578231014479,0.10821237358969966,4.256206896551718,5.846165517241374,2.840612276341264,-5.50177010571938,-9.129514396830054,-7.238116300775397,2.6899563318777293,37.81659388646288,2.9912663755458517,2.133062590975255
model_593,0.0005,0.05,0.05,50,2000,458,0.5,180554.47598253275,5.681222707423581,29.427947598253276,0.1377432486930765,0.09468650612163161,0.22876060960596956,0.15854135994615834,0.15328141939688303,0.3561405137374826,0.05681144937394481,0.11465390367941174,5.102957746478873,6.46052394366197,2.069960468998202,-5.047737435830861,-7.635081373453901,-7.570659353482223,2.2096069868995634,27.179039301310045,3.4716157205240177,1.5331644832605527
model_594,0.0005,0.05,0.05,50,3000,458,0.5,180554.47598253275,5.681222707423581,23.148471615720524,0.13071864837524733,0.08388159751716605,0.20532584836789594,0.13422216043098384,0.12112562459659813,0.29865077376315496,0.04718767163139477,0.11201343856784686,5.175492753623186,6.523297101449272,1.658114752463838,-5.111045915114545,-7.128486553772605,-8.272631272641409,1.794759825327511,21.353711790393014,3.88646288209607,1.2026404657933045
model_595,0.0005,0.05,0.05,50,5000,458,0.5,180554.47598253275,5.681222707423581,16.56768558951965,0.12103615174994586,0.0804035225068093,0.17070680300686952,0.11374414994583619,0.0940692263611606,0.22445898850984902,0.052260221721604924,0.11372841070116865,5.039807999999995,6.213075199999998,1.2225035821822254,-5.117815819716281,-6.538688867552307,-8.940130387501325,1.314410480349345,15.253275109170305,4.366812227074236,0.8940611353711794
model_596,0.0005,0.05,0.05,100,500,458,0.5,180554.47598253275,5.681222707423581,36.53711790393013,0.0962356892237242,0.07280300905434434,0.17541166855251006,0.13776761660037184,0.20048837304488473,0.3191385761254757,0.039283698503985755,0.07977532390767783,4.1458305084745835,5.697432203389838,2.7315169654617946,-6.253028012772485,-9.489700187573973,-8.822464851135933,1.834061135371179,34.004366812227076,3.8471615720524017,1.449318777292576
model_597,0.0005,0.05,0.05,100,1000,458,0.5,180554.47598253275,5.681222707423581,30.00873362445415,0.10059773394629,0.07478519372620723,0.1779159798941462,0.1367842055857144,0.17805847397743108,0.3049493022746298,0.04139679874834272,0.08463719966732114,4.477271186440683,5.975581355932209,2.279529119298145,-5.779756289509723,-8.432812409743052,-8.69340290188214,1.7336244541484715,27.938864628820962,3.947598253275109,1.3184133915574963
model_598,0.0005,0.05,0.05,100,2000,458,0.5,180554.47598253275,5.681222707423581,22.532751091703055,0.1032085320444982,0.07127571856219973,0.1691856187201258,0.11737077470566859,0.11047550360419613,0.25829757193743835,0.039830200131796896,0.09081864716658393,5.340052631578949,6.621598245614041,1.7292369231885065,-5.421344340058844,-7.393031380167283,-8.82414710821423,1.5240174672489082,20.982532751091703,4.157205240174672,1.0475487627365352
model_599,0.0005,0.05,0.05,100,3000,458,0.5,180554.47598253275,5.681222707423581,18.34061135371179,0.0987238516977573,0.063285538345869,0.1531128540213492,0.09909938130957073,0.09040129320119045,0.2219624857404205,0.03598533353038439,0.08893505794949663,5.516055555555561,6.760551851851856,1.4360164267166489,-5.456102510782374,-7.0489265349769346,-9.26231058602134,1.25764192139738,17.08296943231441,4.423580786026201,0.7947132459970881
